Rank,Player,Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied
1,Mohamed Hany,2,10,90,11
2,Yassine Bounou,1,0,0,0
2,Ellyes Skhiri,1,10,40,10
2,Damian Bobadilla,1,5,95,22
2,Mahmoud Abunada,1,0,0,0
2,Hassan Altambakti,1,5,26,7
2,Mohamed Manai,1,2,52,3
2,Yazan Alarab,1,10,28,16
2,Aymen Hussein,1,5,60,3
2,Diney Borges,1,5,29,16
2,Miro Muheim,1,3,16,1
2,Abduvohid Nematov,1,0,0,0
2,Cameron Burgess,1,2,14,9
14,Lucas Bergvall,0,10,60,13
14,Anthony Elanga,0,10,31,1
14,Viktor Johansson,0,0,0,0
14,Ross Stewart,0,0,5,0
14,Nishan Velupillay,0,1,57,4
14,Paul Okon Engstler,0,9,78,5
14,Lewis Ferguson,0,15,87,28
14,Khojiakbar Alijonov,0,4,76,11
14,Nestory Irankunda,0,13,116,3
14,Mohamed Toure,0,3,86,5
14,Sherzod Nasrullaev,0,5,42,9
14,Jesper Karlstrom,0,7,38,7
14,Gabriel Gudmundsson,0,13,58,14
14,Lucas Herrington,0,4,11,4
14,Cristian Volpato,0,11,64,4
14,Carl Starfelt,0,0,0,0
14,Gustaf Lagerbielke,0,8,50,14
14,Alessandro Circati,0,12,48,28
14,Nikola Vasilj,0,0,0,0
14,Tete Yengi,0,1,17,2
14,Oston Urunov,0,4,41,1
14,Connor Metcalfe,0,28,180,11
14,Michael Boxall,0,4,21,12
14,Abdulla Abdullaev,0,7,22,7
14,Isak Hien,0,13,13,8
14,Mattias Svanberg,0,0,5,1
14,Scott Mckenna,0,3,3,3
14,Jacob Italiano,0,6,83,14
14,Kosta Barbarouses,0,0,0,0
14,Harry Souttar,0,4,18,6
14,Hjalmar Ekdal,0,0,0,0
14,Chris Wood,0,8,88,5
14,Lawrence Shankland,0,4,61,9
14,Behruzjon Karimov,0,5,55,7
14,Alexander Isak,0,5,110,15
14,Umar Eshmurodov,0,0,0,0
14,Dan Ndoye,0,32,141,20
