Rank,Player,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides
1,Neil El Aynaoui,15,7,0,0,0,0
2,Andres Cubas,14,3,1,0,0,0
2,Lamine Yamal,14,9,0,0,0,7
4,Alex Baena,13,8,1,0,0,2
4,Adrien Rabiot,13,4,1,0,0,1
4,Aleksandar Pavlovic,13,4,1,0,0,0
7,Nicolas Raskin,12,3,0,0,0,0
7,Enzo Fernandez,12,6,2,1,1,1
9,Julian Alvarez,11,4,0,0,0,2
9,Ermedin Demirovic,11,3,1,0,0,1
9,Ricardo Rodriguez,11,2,0,0,0,0
9,Rodri,11,9,0,0,0,1
13,Pedro Porro,10,9,0,0,0,0
13,Richard Rios,10,4,1,0,0,0
13,Matias Galarza,10,9,2,0,0,0
16,Juan Jose Caceres,9,6,1,0,0,0
16,Leandro Paredes,9,3,2,0,0,0
16,Cristian Romero,9,3,2,0,0,0
16,Alexis Mac Allister,9,12,1,0,0,0
16,Nicolas Tagliafico,9,16,0,0,0,2
16,Daniel Munoz,9,1,0,0,0,3
16,Giuliano Simeone,9,1,0,0,0,1
16,Gustavo Puerta,9,8,1,0,0,0
16,Breel Embolo,9,11,2,1,1,4
16,Elliot Anderson,9,13,1,0,0,0
16,Jude Bellingham,9,17,1,0,0,1
16,Brandon Mechele,9,2,1,0,0,0
16,Thomas Meunier,9,0,0,0,0,0
29,Harry Kane,8,9,0,0,0,2
29,Ezri Konsa,8,11,0,0,0,0
29,Lautaro Martinez,8,5,1,0,0,2
29,Chris Richards,8,3,1,0,0,0
29,Carlos Harvey,8,3,1,0,0,0
29,Weston Mckennie,8,2,1,0,0,0
29,Samuel Moutoussamy,8,1,1,0,0,0
29,Harry Souttar,8,1,1,0,0,0
29,Eldor Shomurodov,8,4,0,0,0,1
29,Remo Freuler,8,3,0,0,0,1
29,Marc Cucurella,8,4,1,0,0,4
29,Behruzjon Karimov,8,4,0,0,0,0
29,Ismael Saibari,8,3,0,0,0,3
29,Luc De Fougerolles,8,8,2,0,0,0
29,Richie Laryea,8,13,1,0,0,1
29,Marawan Attia,8,1,2,0,0,0
45,Franck Kessie,7,2,1,0,0,1
45,Achraf Hakimi,7,16,1,0,0,0
45,Jordan Ayew,7,7,0,0,0,1
45,Martin Experience,7,6,0,0,0,0
45,Caleb Yirenkyi,7,3,2,0,0,0
45,Kwasi Sibo,7,1,0,0,0,0
