Rank,Player,Goals,Assists,Minutes Played
1,Kylian Mbappe,10,4,769
2,Lionel Messi,8,4,853
3,Jude Bellingham,7,1,698
4,Erling Haaland,7,0,537
5,Ousmane Dembele,6,2,648
6,Harry Kane,6,1,732
7,Mikel Oyarzabal,5,1,664
8,Ismaila Sarr,4,1,419
9,Julian Quinones,4,1,440
10,Vinicius Junior,4,1,505
11,Bukayo Saka,3,3,411
12,Deniz Undav,3,2,174
13,Johan Manzambi,3,2,220
14,Romelu Lukaku,3,1,279
15,Lautaro Martinez,3,1,368
16,Charles De Ketelaere,3,1,385
17,Cody Gakpo,3,1,394
18,Bradley Barcola,3,1,432
19,Brian Brobbey,3,0,245
20,Elijah Just,3,0,291
21,Matheus Cunha,3,0,324
22,Folarin Balogun,3,0,348
23,Raul Jimenez,3,0,348
24,Kai Havertz,3,0,392
25,Yoane Wissa,3,0,409
26,Ismael Saibari,3,0,411
27,Jonathan David,3,0,475
28,Cristiano Ronaldo,3,0,490
29,Crysencio Summerville,2,2,282
30,Breel Embolo,2,2,531
31,Leandro Trossard,2,2,561
32,Soufiane Rahimi,2,1,215
33,Nicolas Pepe,2,1,255
34,Pape Gueye,2,1,257
35,Maxi Araujo,2,1,278
36,Riyad Mahrez,2,1,288
37,Ramin Rezaeian,2,1,309
38,Ruben Vargas,2,1,314
39,Ayase Ueda,2,1,349
40,Mostafa Zico,2,1,398
41,Malik Tillman,2,1,415
42,Ermin Mahmic,2,0,88
43,Habib Diarra,2,0,168
44,Marko Arnautovic,2,0,173
45,Amad Diallo,2,0,211
46,Cyle Larin,2,0,224
47,Anthony Elanga,2,0,247
48,Mikel Merino,2,0,262
49,Daichi Kamada,2,0,359
50,Yasin Ayari,2,0,371
