Rank,Player,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area
1,Orlando Gill,28,141,124
2,Eloy Room,21,81,72
3,Emiliano Martinez,20,111,97
3,Gregor Kobel,20,100,88
3,Diogo Costa,20,114,93
6,Jordan Pickford,19,133,110
6,Yassine Bounou,19,112,91
8,Vozinha,18,136,102
9,Zion Suzuki,17,78,64
9,Mohammed Alowais,17,86,78
9,Orjan Nyland,17,107,93
9,Bart Verbruggen,17,57,54
9,Thibaut Courtois,17,110,90
14,Mahmoud Abunada,16,124,103
15,Alireza Beiranvand,15,75,65
15,Lionel Mpasi,15,83,70
15,Mike Maignan,15,108,86
15,Alexander Schlager,15,85,74
15,Alisson,15,67,59
20,Mostafa Shoubir,14,119,105
20,Ronwen Williams,14,72,59
20,Patrick Beach,14,91,76
20,Unai Simon,14,120,93
24,Johny Placide,13,56,48
25,Dominik Livakovic,12,80,68
25,Jacob Widell Zetterstrom,12,54,46
25,Hernan Galindez,12,68,63
28,Yahia Fofana,11,84,68
28,Kim Seunggyu,11,42,34
28,Max Crocombe,11,97,88
28,Matej Kovar,11,60,52
32,Matt Freese,10,58,48
33,Orlando Mosquera,9,48,42
33,Angus Gunn,9,75,64
33,Luca Zidane,9,34,32
36,Yazeed Abulaila,8,70,56
36,Raul Rangel,8,57,46
36,Edouard Mendy,8,34,25
36,Lawrence Ati Zigi,8,31,30
36,Benjamin Asare,8,55,47
36,Ugurcan Cakir,8,55,46
36,Nikola Vasilj,8,92,70
43,Camilo Vargas,7,57,54
43,Jalal Hassan,7,51,45
43,Maxime Crepeau,7,49,40
43,Manuel Neuer,7,61,45
47,Dean Henderson,6,26,22
47,Aymen Dahmen,6,51,44
49,Mory Diaw,5,53,45
49,Abduvohid Nematov,5,55,44
