Rank,Player,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements
1,Jude Bellingham,485,130,258,97,367,118,12,93,183,580
2,Kylian Mbappe,431,191,163,77,282,149,29,165,184,626
3,Rodri,414,5,122,287,291,123,2,41,258,1676
4,Marc Cucurella,412,165,137,110,90,322,16,118,172,987
5,Enzo Fernandez,374,51,128,195,226,148,4,81,159,1122
5,Elliot Anderson,374,21,84,269,271,103,2,15,188,975
7,Michael Olise,365,75,199,91,234,131,9,140,228,952
8,Pedri,363,45,146,172,277,86,5,65,180,1024
9,Bruno Guimaraes,339,56,156,127,258,81,5,51,92,459
10,Daniel Munoz,338,135,109,94,53,285,8,38,52,461
11,Rodrigo De Paul,337,34,162,141,146,191,4,43,111,712
12,Neil El Aynaoui,334,37,99,198,250,84,1,25,154,918
13,Alex Baena,332,151,138,43,180,152,13,141,102,554
14,Granit Xhaka,330,5,129,196,231,99,0,35,110,997
15,Martin Odegaard,329,29,173,127,212,117,5,99,132,789
16,Remo Freuler,328,43,138,147,228,100,3,34,105,694
17,Lamine Yamal,317,119,164,34,119,198,33,224,188,740
17,Fabian Ruiz,317,43,146,128,218,99,2,41,99,639
19,Azzedine Ounahi,316,51,144,121,177,139,2,81,126,683
20,Dani Olmo,314,89,175,50,248,66,4,79,112,537
21,Julian Alvarez,299,111,118,70,189,110,3,116,120,494
22,Ismael Saibari,298,151,117,30,182,116,9,67,94,246
23,Luis Diaz,295,148,121,26,130,165,11,116,104,415
24,Mikel Oyarzabal,291,148,129,14,236,55,13,125,132,392
25,Declan Rice,274,31,88,155,175,99,3,28,112,742
26,Alexis Mac Allister,269,50,97,122,206,63,4,58,195,933
27,Arda Guler,268,40,122,106,157,111,6,46,89,455
28,Vinicius Junior,263,104,130,29,113,150,17,93,111,397
29,Pedro Vite,261,11,108,142,153,108,1,27,83,640
30,Gustavo Puerta,260,48,108,104,145,115,3,44,116,643
30,Weston Mckennie,260,94,125,41,139,121,14,84,138,497
32,Achraf Hakimi,253,79,114,60,102,151,12,92,167,971
33,Bruno Fernandes,251,53,135,63,150,101,5,86,115,640
34,Youri Tielemans,248,61,87,100,174,74,3,41,125,591
34,Julian Quinones,248,99,115,34,120,128,6,84,141,355
36,Lionel Messi,245,59,121,65,157,88,5,151,191,899
36,Jules Kounde,245,108,54,83,101,144,9,62,71,750
36,Marawan Attia,245,8,79,158,140,105,0,22,119,749
39,Ferran Torres,243,118,96,29,204,39,12,96,70,251
40,Emam Ashour,241,49,128,64,114,127,5,50,85,471
41,Nahuel Molina,236,86,89,61,50,186,6,46,104,572
41,Leandro Paredes,236,2,40,194,157,79,0,9,58,1154
43,Adrien Rabiot,235,65,58,112,160,75,8,36,121,769
44,Kevin De Bruyne,223,76,96,51,126,97,6,61,86,446
45,Florian Wirtz,218,71,100,47,96,122,4,117,99,599
46,Pedro Porro,215,58,96,61,52,163,9,69,139,896
47,Joao Neves,214,52,74,88,158,56,2,40,107,558
48,Leandro Trossard,213,84,95,34,105,108,10,92,95,500
49,Desire Doue,212,63,101,48,80,132,12,91,95,474
49,Daichi Kamada,212,19,92,101,134,78,0,34,52,436
