Rank,Player,Top Speed (km/h),High Speed Running,Sprints,Total Distance (m)
1,Kylian Mbappe,37.61,529,250,66726.57
2,Anthony Elanga,37.16,211,118,24265.7
3,Micky Van De Ven,36.77,245,92,27342.03
4,Jordan Bos,36.67,396,223,36920.34
5,Erling Haaland,36.52,375,172,49468.92
6,Abdukodir Khusanov,36.46,218,93,27912.88
7,Bradley Barcola,36.32,340,165,42770.58
8,Djed Spence,36.22,417,214,45630.64
9,Theo Hernandez,36.17,288,134,29720.25
10,Nelson Semedo,35.9,196,79,16630.4
11,Anthony Gordon,35.79,474,232,43686.72
12,Mohamed Toure,35.77,217,79,19508.03
13,Ryan Gravenberch,35.61,443,129,37432.87
14,Folarin Balogun,35.6,329,183,34951.64
15,Marcus Holmgren Pedersen,35.59,322,137,29767.17
16,Alan Minda,35.52,80,31,6170.77
17,Sondre Langas,35.51,26,11,2880.7
18,Achraf Hakimi,35.48,624,296,63750.68
19,Dayot Upamecano,35.39,598,228,73611.38
20,Pedro Neto,35.33,368,208,37581.23
21,Chemsdine Talbi,35.33,280,128,23817.14
22,Richie Laryea,35.23,464,231,46053.79
23,Giuliano Simeone,35.2,296,114,23625.58
24,Omar Marmoush,35.17,321,165,35476.36
25,Marcus Rashford,35.17,285,147,28790.24
26,Son Heungmin,35.17,169,96,18757.38
27,Thapelo Maseko,35.17,299,159,27093.85
28,Nuno Mendes,35.16,382,160,39049.58
29,Virgil Van Dijk,35.14,292,100,38197.13
30,Nestory Irankunda,35.13,263,129,27279
31,Luis Diaz,35.13,510,248,52994.8
32,Antoine Semenyo,35.12,285,167,39933.84
33,Kristoffer Ajer,35.09,480,150,54843.56
34,Alistair Johnston,35.08,683,264,53458.13
35,Luis Suarez,35.05,267,155,32718.6
36,Daizen Maeda,35,432,239,32326.01
37,Julian Alvarez,34.98,787,340,71340.54
38,Felix Nmecha,34.97,442,141,33325.14
39,Pico Lopes,34.95,366,99,41751.06
40,Rafael Leao,34.95,188,75,18513.49
41,Brian Rodriguez,34.88,90,35,6497.61
42,Tani Oluwaseyi,34.87,350,172,29357.02
43,Federico Valverde,34.86,228,99,25916.6
44,Brian Gutierrez,34.85,334,112,24453.57
45,Hazem Mastouri,34.84,106,39,10041.14
46,Matias Fernandez Pardo,34.82,83,52,7102.68
47,Dailon Livramento,34.81,237,100,23067.28
48,Ali Abdi,34.81,343,150,29932.97
49,Esmir Bajraktarevic,34.8,318,145,28616.79
50,Eren Elmali,34.75,135,60,14528.21
