Category,level_1,Rank,Player,Passes,Passes Completed,Passing Accuracy (%),Crosses,Crossing Accuracy (%),Take-Ons Completed,Defensive Linebreaks Attempted,Defensive Linebreaks Acc (%),Switches of Play Attempted,Switches of Play Acc (%),Assists,Attempts On Target,Attempts At Goal,Attempts At Goal Conv. Rate (%),Attempts Inside the Penalty Area,Attempts Outside the Penalty Area,Headed Attempts at Goal,xG,xG Efficiency,Corners,Own Goals,Forced Turnovers,Defensive Pressures Applied,Defensive Pressures Directly Applied,Fouls Against,Fouls For,Yellow Cards,Red Cards,Indirect Red Cards,Offsides,Goalkeeper Saves,Goalkeeper Actions Inside the Penalty Area,Goalkeeper Actions Outside the Penalty Area,Offers To Receive,Offers In Behind,Offers In Between,Offers In Front,Offers Inside Team Shape,Offers Outside Team Shape,Receptions In Behind,Receptions Between Midfield And Defensive Line,Receptions Under Pressure,Player Involvements,Top Speed (km/h),High Speed Running,Sprints,Total Distance (m)
General,0,1,Rodri,799,747,93,3,0,2,21,90,11,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,1,2,Pau Cubarsi,690,668,97,1,0,0,7,71,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,2,3,Aymeric Laporte,660,618,94,0,0,0,12,58,8,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,3,4,Leandro Paredes,565,532,94,2,50,3,8,38,7,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,4,5,Marc Guehi,532,514,97,0,0,2,10,70,4,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,5,6,Enzo Fernandez,519,480,92,5,40,5,21,71,8,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,6,7,Ezri Konsa,488,469,96,3,0,1,3,100,3,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,7,8,Manuel Akanji,479,444,93,0,0,0,8,88,8,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,8,9,Marc Cucurella,474,433,91,15,20,1,13,54,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,9,10,Granit Xhaka,470,427,91,4,0,2,15,47,8,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,10,11,Pedri,469,420,90,14,36,2,16,75,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,11,12,Lisandro Martinez,450,422,94,3,0,2,9,67,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,12,13,Achraf Hakimi,449,402,90,38,32,11,7,86,6,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,13,14,Elliot Anderson,445,396,89,6,50,1,17,71,10,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,14,15,Dayot Upamecano,443,409,92,0,0,2,6,67,4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,15,16,Nico Elvedi,438,406,93,0,0,3,2,50,5,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,16,17,Neil El Aynaoui,433,405,94,0,0,1,3,0,3,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,17,18,Gabriel Magalhaes,431,413,96,0,0,0,2,50,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,18,19,Alexis Mac Allister,430,393,91,1,0,1,3,33,3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General,19,19,Cristian Romero,430,415,97,0,0,3,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
